           h                   log(h)                     E(h)
2.132196e-004 -8.453188e+000 2.392963e-004
2.136752e-004 -8.451053e+000 2.398076e-004
2.141328e-004 -8.448914e+000 2.403212e-004
2.145923e-004 -8.446771e+000 2.408370e-004
2.150538e-004 -8.444622e+000 2.413549e-004
2.155172e-004 -8.442470e+000 2.418752e-004
2.159827e-004 -8.440312e+000 2.423976e-004
2.164502e-004 -8.438150e+000 2.429223e-004
2.169197e-004 -8.435983e+000 2.434493e-004
2.173913e-004 -8.433812e+000 2.439786e-004
2.178649e-004 -8.431635e+000 2.445102e-004
2.183406e-004 -8.429454e+000 2.450442e-004
2.188184e-004 -8.427268e+000 2.455804e-004
2.192982e-004 -8.425078e+000 2.461190e-004
2.197802e-004 -8.422883e+000 2.466600e-004
2.202643e-004 -8.420682e+000 2.472034e-004
2.207506e-004 -8.418477e+000 2.477491e-004
2.212389e-004 -8.416267e+000 2.482973e-004
2.217295e-004 -8.414052e+000 2.488479e-004
2.222222e-004 -8.411833e+000 2.494010e-004
2.227171e-004 -8.409608e+000 2.499565e-004
2.232143e-004 -8.407378e+000 2.505145e-004
2.237136e-004 -8.405144e+000 2.510750e-004
2.242152e-004 -8.402904e+000 2.516380e-004
